--- model size ---
model: 55,192,704
======= start training =======
epoch|batch_idx/num_batches|output_dir|batch/s|lr|time|step
epoch: 281 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.017 | time: 0:11:44.8 | step: 1690
epoch: 283 |   1/  6 | logs/44k/diffusion | batch/s: 2.48 | lr: 0.0001 | loss: 0.017 | time: 0:11:48.8 | step: 1700
epoch: 284 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.075 | time: 0:11:52.8 | step: 1710
epoch: 286 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.018 | time: 0:11:57.3 | step: 1720
epoch: 288 |   1/  6 | logs/44k/diffusion | batch/s: 2.50 | lr: 0.0001 | loss: 0.018 | time: 0:12:01.3 | step: 1730
epoch: 289 |   5/  6 | logs/44k/diffusion | batch/s: 2.39 | lr: 0.0001 | loss: 0.018 | time: 0:12:05.2 | step: 1740
epoch: 291 |   3/  6 | logs/44k/diffusion | batch/s: 2.38 | lr: 0.0001 | loss: 0.012 | time: 0:12:09.7 | step: 1750
epoch: 293 |   1/  6 | logs/44k/diffusion | batch/s: 2.45 | lr: 0.0001 | loss: 0.007 | time: 0:12:13.8 | step: 1760
epoch: 294 |   5/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.003 | time: 0:12:17.7 | step: 1770
epoch: 296 |   3/  6 | logs/44k/diffusion | batch/s: 2.35 | lr: 0.0001 | loss: 0.014 | time: 0:12:22.2 | step: 1780
epoch: 298 |   1/  6 | logs/44k/diffusion | batch/s: 2.44 | lr: 0.0001 | loss: 0.016 | time: 0:12:26.3 | step: 1790
epoch: 299 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.052 | time: 0:12:30.3 | step: 1800
epoch: 301 |   3/  6 | logs/44k/diffusion | batch/s: 2.37 | lr: 0.0001 | loss: 0.011 | time: 0:12:34.8 | step: 1810
epoch: 303 |   1/  6 | logs/44k/diffusion | batch/s: 2.46 | lr: 0.0001 | loss: 0.009 | time: 0:12:38.8 | step: 1820
epoch: 304 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.014 | time: 0:12:42.8 | step: 1830
epoch: 306 |   3/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.014 | time: 0:12:47.3 | step: 1840
epoch: 308 |   1/  6 | logs/44k/diffusion | batch/s: 2.45 | lr: 0.0001 | loss: 0.029 | time: 0:12:51.4 | step: 1850
epoch: 309 |   5/  6 | logs/44k/diffusion | batch/s: 2.36 | lr: 0.0001 | loss: 0.021 | time: 0:12:55.4 | step: 1860
